year,variable,sample,aate,se,p,n_pts
1850,Log Farm Value,unadjusted_tri_mserd,-0.04399298978028765,0.06983375011008966,0.5287158780004939,100
1850,Log Farm Value,geog_adjusted_tri_mserd,-0.16521083248701887,0.05144296942409003,0.001320284614495593,100
1850,Log Farm Value,geog_and_slave_adjusted_tri_mserd,-0.4489857623475384,0.04757024252220826,3.786071402192654e-21,100
1850,Log Farm Value,unadjusted_tri_imserd,-0.06342602163067475,0.07540992695561857,0.40030133379038557,100
1850,Log Farm Value,geog_adjusted_tri_imserd,-0.1636923948712326,0.0516416564023908,0.0015255739198176462,100
1850,Log Farm Value,geog_and_slave_adjusted_tri_imserd,-0.44749768364223586,0.047613126402799986,5.528334624436029e-21,100
1850,Log Farm Value,unadjusted_epa_mserd,-0.040123976269158965,0.07095766756595395,0.5717584939619325,100
1850,Log Farm Value,geog_adjusted_epa_mserd,-0.15668371880515064,0.0540397114051989,0.0037385596886966364,100
1850,Log Farm Value,geog_and_slave_adjusted_epa_mserd,-0.44230034859202966,0.04985316839736573,7.180446050954718e-19,100
1850,Log Farm Value,unadjusted_tri_mserd_p2,-0.084035925195396,0.07604590065775373,0.26912993236676497,100
1850,Log Farm Value,geog_adjusted_tri_mserd_p2,-0.14469793738965434,0.05621254106567254,0.010049483686261514,100
1850,Log Farm Value,geog_and_slave_adjusted_tri_mserd_p2,-0.44479818446557895,0.05331347159608205,7.238446167328657e-17,100
1860,Log Farm Value,unadjusted_tri_mserd,-0.03772858613007438,0.0655728111521582,0.5650415243336135,100
1860,Log Farm Value,geog_adjusted_tri_mserd,-0.07887187813140115,0.04564032724067207,0.08396704311771758,100
1860,Log Farm Value,geog_and_slave_adjusted_tri_mserd,-0.3174911154599402,0.04408870405714302,5.968949472214226e-13,100
1860,Log Farm Value,unadjusted_tri_imserd,-0.04921786206797525,0.06648340828705769,0.4591162024370609,100
1860,Log Farm Value,geog_adjusted_tri_imserd,-0.0789721483182925,0.04601716823119761,0.0861354465295087,100
1860,Log Farm Value,geog_and_slave_adjusted_tri_imserd,-0.3163150370644906,0.044240772000255175,8.687058213670626e-13,100
1860,Log Farm Value,unadjusted_epa_mserd,-0.016434399123831024,0.06835605180522217,0.8100019858094072,100
1860,Log Farm Value,geog_adjusted_epa_mserd,-0.06758336921328646,0.048250944030180466,0.16131451734121574,100
1860,Log Farm Value,geog_and_slave_adjusted_epa_mserd,-0.2992256558100044,0.04664193345079562,1.4047343501488326e-10,100
1860,Log Farm Value,unadjusted_tri_mserd_p2,-0.051387522258578754,0.06779522665162048,0.4484621049697562,100
1860,Log Farm Value,geog_adjusted_tri_mserd_p2,-0.08540338900653419,0.048029872537476113,0.07538239775206948,100
1860,Log Farm Value,geog_and_slave_adjusted_tri_mserd_p2,-0.340015579570828,0.0479982507037772,1.4013679915040006e-12,100
1870,Log Farm Value,unadjusted_tri_mserd,-0.2541421264499484,0.07010864212158421,2.889885850821731e-4,100
1870,Log Farm Value,geog_adjusted_tri_mserd,-0.2811431628711446,0.04802427435427154,4.793442199400356e-9,100
1870,Log Farm Value,unadjusted_tri_imserd,-0.23805777304178818,0.0716763985442781,8.960387321585968e-4,100
1870,Log Farm Value,geog_adjusted_tri_imserd,-0.2810577897446322,0.04826080716269544,5.754938444631291e-9,100
1870,Log Farm Value,unadjusted_epa_mserd,-0.20700145595469766,0.07291484348567914,0.0045262518953282935,100
1870,Log Farm Value,geog_adjusted_epa_mserd,-0.26931956180448596,0.051000603774199293,1.286819842078972e-7,100
1870,Log Farm Value,unadjusted_tri_mserd_p2,-0.21948163267210702,0.07107508045838058,0.002014914496240473,100
1870,Log Farm Value,geog_adjusted_tri_mserd_p2,-0.2820662409130465,0.05013029912970242,1.8373041092669896e-8,100
1880,Log Farm Value,unadjusted_tri_mserd,-0.11140609247269552,0.06135206737564593,0.06939353270245979,100
1880,Log Farm Value,geog_adjusted_tri_mserd,-0.1699653692265036,0.039197712332854656,1.4503014326321642e-5,100
1880,Log Farm Value,unadjusted_tri_imserd,-0.07769253009712228,0.06592294846254428,0.2385832181538769,100
1880,Log Farm Value,geog_adjusted_tri_imserd,-0.16507604553981464,0.03936877958512766,2.7520457026555453e-5,100
1880,Log Farm Value,unadjusted_epa_mserd,-0.08726577083372118,0.0653814120741442,0.18196854350228667,100
1880,Log Farm Value,geog_adjusted_epa_mserd,-0.15262492412534545,0.041504283345549314,2.3568854149521324e-4,100
1880,Log Farm Value,unadjusted_tri_mserd_p2,-0.08604916577954518,0.0653113474606688,0.18766356474987983,100
1880,Log Farm Value,geog_adjusted_tri_mserd_p2,-0.15673184323690426,0.042515177524787805,2.2736697637347497e-4,100
1890,Log Farm Value,unadjusted_tri_mserd,-0.009387951315767648,0.05915574877129274,0.8739061174268362,100
1890,Log Farm Value,geog_adjusted_tri_mserd,-0.09068240791865993,0.040618296830015756,0.02557858681733228,100
1890,Log Farm Value,unadjusted_tri_imserd,0.01858868755989009,0.0667622038572993,0.7806812911175998,100
1890,Log Farm Value,geog_adjusted_tri_imserd,-0.09485836122519217,0.04070626163323001,0.019789574519577035,100
1890,Log Farm Value,unadjusted_epa_mserd,0.013502943446924381,0.06192827598557492,0.827396660414599,100
1890,Log Farm Value,geog_adjusted_epa_mserd,-0.079991904521912,0.042229431648663426,0.058195592994116516,100
1890,Log Farm Value,unadjusted_tri_mserd_p2,0.04301960379065119,0.06824435096439907,0.5284485824670887,100
1890,Log Farm Value,geog_adjusted_tri_mserd_p2,-0.05704868487381433,0.043640834590702296,0.1911340131815693,100
1900,Log Farm Value,unadjusted_tri_mserd,0.04338997069736729,0.05946621614423512,0.46559956461101154,100
1900,Log Farm Value,geog_adjusted_tri_mserd,-0.07042360403521115,0.03938083607390014,0.07373230881908459,100
1900,Log Farm Value,unadjusted_tri_imserd,0.05519762624601508,0.0639856123190868,0.38832616793274566,100
1900,Log Farm Value,geog_adjusted_tri_imserd,-0.07530648297337283,0.039617012526303244,0.05732005978178241,100
1900,Log Farm Value,unadjusted_epa_mserd,0.08069139935005233,0.06351502663861977,0.20393147992471808,100
1900,Log Farm Value,geog_adjusted_epa_mserd,-0.0592381072670406,0.04052732267146989,0.14382803915428966,100
1900,Log Farm Value,unadjusted_tri_mserd_p2,0.05215594970429946,0.06704087315621897,0.43658527805312586,100
1900,Log Farm Value,geog_adjusted_tri_mserd_p2,-0.04062975680255625,0.04160701233304432,0.32881068543408964,100
